side,horizon_minutes,feature_count,ctx_body_atr_bucket,ctx_body_direction,train_sample_size,train_success_rate,train_avg_return_atr,train_median_return_atr,train_avg_mfe_atr,train_avg_mae_atr,test_sample_size,test_success_rate,test_avg_return_atr,test_median_return_atr,test_avg_mfe_atr,test_avg_mae_atr,baseline_train_success_rate,baseline_test_success_rate,baseline_train_avg_return_atr,baseline_test_avg_return_atr,train_success_lift,test_success_lift,train_return_lift,test_return_lift,candidate_status,feature_1,feature_2,ctx_range_atr_bucket,ctx_dist_ema20_atr_bucket,ctx_sweep_high,ctx_dist_donchian_high20_atr_bucket,ctx_dist_donchian_low20_atr_bucket,ctx_sweep_low
DOWN,5,2,Q1_LOW,-1,1403,0.45759087669280113,-0.03271499892856406,-0.06640316205477897,1.16580529140546,1.243464964723516,602,0.4717607973421927,-0.11196218927666111,-0.06175192480546633,1.0481362158861438,1.2716665282234616,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.09613783734125642,-0.09513417982675709,-0.19998275666049634,-0.2976138398013481,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q1_LOW,1,1031,0.38991270611057227,-0.195421813255891,-0.23303457106293735,1.0410655986135355,1.4386568359678278,442,0.4004524886877828,-0.23592243618613176,-0.22939554851848099,0.9929779188917371,1.4958884328811273,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.16381600792348527,-0.16644248848116694,-0.3626895709878233,-0.42157408671081875,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q2,1,684,0.3157894736842105,-0.5098491269030786,-0.4256841133503598,0.7743058412513124,1.695442910146467,294,0.37755102040816324,-0.279547867160524,-0.21339782499342722,0.9170530858509107,1.5443049668305249,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.23793924034984704,-0.18934395676078652,-0.6771168846350109,-0.46519951768521095,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q3,-1,2256,0.6152482269503546,0.28285032913492325,0.2335977521402617,1.5292815778951558,0.9058590246028508,967,0.6359875904860393,0.2835409296027268,0.29985228951251186,1.4737498741463386,0.8527944445402471,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.06151951291629709,0.06909261331708949,0.11558257140299097,0.09788927907803982,ROBUST_POSITIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q3,1,346,0.23699421965317918,-0.6196631304949285,-0.627779434980178,0.5335185380221521,1.7663122669313773,149,0.24161073825503357,-0.5008541036690906,-0.5743319533309073,0.559678623466743,1.8894338811729168,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.31673449438087836,-0.3252842389139162,-0.7869308882268607,-0.6865057541937776,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q4_HIGH,-1,2543,0.7829335430593787,0.7762703185272982,0.6683127572015823,2.0855360264149176,0.45090665164785965,1091,0.766269477543538,0.7450127292991295,0.6353955375253338,1.962221787070688,0.4712806732037293,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.22920482902532113,0.19937450037458826,0.609002560795366,0.5593610787744425,ROBUST_POSITIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
DOWN,5,2,Q4_HIGH,1,93,0.11827956989247312,-0.8218867411929649,-1.0868364528996088,0.4841626544126907,2.12921822212253,40,0.175,-0.4479089561955811,-0.5399162419412724,0.459605731068652,1.709683134305358,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.4354491441415844,-0.3918949771689498,-0.9891544989248972,-0.633560606720268,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
UP,5,2,Q1_LOW,-1,1003,0.38783649052841473,-0.2571825116472974,-0.219392752203502,0.9209277157963127,1.509654994883116,430,0.35348837209302325,-0.29835383798007226,-0.25857276143478486,0.9328385643430849,1.5258707313582267,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.1524127183323447,-0.18296755776392187,-0.3884232716671645,-0.4090951224140927,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
UP,5,2,Q1_LOW,1,1397,0.4416607015032212,-0.13893666458926784,-0.16230539913894387,1.0740338948877997,1.3302533021407945,600,0.45666666666666667,-0.08861094314196828,-0.06825600458313646,1.0895555651441042,1.269506484174792,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.09858850735753827,-0.07978926319027846,-0.27017742460913496,-0.1993522275759887,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
UP,5,2,Q2,-1,647,0.28438948995363217,-0.512578662968545,-0.4175126903555745,0.7189180880926489,1.6827649702167782,278,0.27697841726618705,-0.4557935340198792,-0.5419401595675063,0.7647216851716194,1.6824687778300258,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.2558597189071273,-0.2594775125907581,-0.6438194229884121,-0.5665348184538996,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_body_direction,,,,,,
